,prec_FileName,prec_AverageValues,prec_MedianValues,prec_MinValues,prec_MaxValues,prec_Variance,prec_StandardDeviation,tmax_AverageValues,tmax_MedianValues,tmax_MinValues,tmax_MaxValues,tmax_Variance,tmax_StandardDeviation,tmin_AverageValues,tmin_MedianValues,tmin_MinValues,tmin_MaxValues,tmin_Variance,tmin_StandardDeviation,WET_Date,WET,WET_Fixed
80,09-1967,69.285614,69.42061,41.851048,111.989265,170.14076,13.043801,31.642397,32.73038,22.408329,34.64042,6.541708,2.5576763,19.76247,20.658054,12.365893,22.20859,4.0831532,2.0206814,,,
81,10-1967,37.43275,34.323135,20.679228,80.99153,128.33397,11.328459,27.300726,28.4085,17.664278,30.446106,7.2050085,2.6842146,12.485177,13.01932,6.404353,14.487495,2.2747393,1.5082239,,,
82,11-1967,13.90451,13.1305065,6.4404078,25.789917,25.30001,5.0299115,22.23177,23.18721,13.514244,24.869396,5.5544806,2.3567946,7.16176,7.318609,2.513316,9.444358,0.9802357,0.99006855,,,
83,12-1967,133.79825,130.58487,95.63605,188.5209,264.27805,16.25663,16.841896,17.704542,8.835269,19.046349,4.1421466,2.0352263,3.117108,3.2575483,-1.496625,5.5105276,0.8195236,0.9052754,,,
84,01-1968,74.56558,73.23639,54.836647,117.92326,87.72416,9.3661175,13.703526,14.681559,4.969684,16.168972,4.718729,2.1722636,0.7097847,1.0755677,-5.290823,2.3056874,1.4138958,1.1890736,,,
85,02-1968,57.368484,55.091103,40.89145,79.794174,63.29519,7.955827,15.004892,16.052126,5.2471857,17.910809,6.1544237,2.480811,2.388546,3.0174308,-5.1707096,4.1119237,2.5787582,1.6058513,,,
86,03-1968,65.72556,63.424934,40.070736,107.57012,228.07347,15.102101,22.061296,23.00784,12.109987,25.246166,6.4557147,2.5408099,9.760582,10.538356,1.5096745,11.748644,3.4472353,1.8566732,,,
87,04-1968,59.856983,58.216255,24.165932,126.873375,503.32547,22.434916,27.414413,28.637398,16.09473,31.102442,9.678099,3.1109643,14.319227,15.179729,6.25219,16.638865,3.9901788,1.9975432,,,
88,05-1968,43.16621,39.176273,21.914906,95.83696,240.55582,15.509862,30.876263,32.380974,18.559446,34.820343,12.157967,3.4868276,16.997658,18.017979,8.237066,19.28564,5.1976166,2.279828,,,
89,06-1968,24.299288,24.283195,15.554124,35.67533,10.577746,3.2523448,37.563797,38.97415,25.937311,41.09491,10.193018,3.1926506,23.100245,24.033678,14.806781,25.645517,4.7099786,2.1702485,,,
90,07-1968,118.95758,122.50087,72.02695,158.69778,360.04712,18.974907,33.466625,34.524757,24.572124,36.196342,6.01719,2.452996,23.126543,24.117292,15.170362,25.656612,4.8389964,2.199772,,,
91,08-1968,198.01962,199.67871,123.71278,243.59431,707.392,26.596842,31.635742,32.651024,23.517921,34.41951,5.3762584,2.318676,22.049421,23.014778,14.575806,24.63334,4.4136505,2.100869,,,
92,09-1968,10.137931,10.06185,6.199231,16.511732,5.284036,2.2987032,32.760006,33.8655,23.366663,35.837814,6.8314466,2.6137037,19.981915,20.852556,12.48256,22.562756,4.206898,2.0510724,,,
93,10-1968,36.159462,32.658638,14.849112,88.59878,221.39215,14.879252,27.94739,29.03571,18.326603,31.09819,7.0851345,2.6617916,12.5475025,13.084524,6.491853,14.6151,2.1896257,1.4797384,,,
94,11-1968,24.123232,23.14209,7.75068,45.446728,102.964355,10.147136,22.463783,23.423239,13.814245,25.010021,5.4672728,2.33822,7.022732,7.1977434,2.3048093,9.331859,1.0407099,1.0201519,,,
95,12-1968,36.067413,35.417103,22.842428,54.63129,47.585926,6.8982553,16.222176,17.133636,7.868602,18.630617,4.7062163,2.1693816,2.9859278,3.1730902,-1.9714515,5.258965,0.9537893,0.9766214,,,
96,01-1969,40.40179,40.661438,18.956099,76.41954,119.91334,10.950495,14.796025,15.759775,6.0158644,17.333035,4.815003,2.1943114,2.578847,2.9222722,-3.3491561,4.4390206,1.3732535,1.171859,,,
97,02-1969,78.548996,77.45973,42.122543,131.02028,389.40643,19.733383,16.50597,17.55212,6.4221864,19.593273,6.776026,2.60308,4.889657,5.5340223,-2.637897,6.4336042,2.4873962,1.5771481,,,
98,03-1969,60.7425,57.53965,32.441166,112.51397,327.00607,18.08331,24.650986,25.451752,14.564328,27.814568,6.617822,2.5725129,12.285513,13.061167,3.8680084,14.35281,3.610231,1.9000608,,,
99,04-1969,94.57509,88.43887,46.780357,199.94493,947.05023,30.774181,26.572016,27.663265,15.00289,30.489056,10.488282,3.2385616,13.768047,14.542749,5.53969,16.169767,4.2717094,2.0668113,,,
100,05-1969,60.074425,55.253822,37.808292,120.82167,281.26743,16.771029,31.846333,33.33571,19.64278,35.70368,11.870525,3.4453628,17.398527,18.462433,8.516406,19.968973,5.4572473,2.336075,,,
101,06-1969,27.062841,26.061913,11.011433,50.824753,67.43674,8.2119875,36.982304,38.42374,25.34582,40.42824,10.096642,3.1775212,22.775625,23.719501,14.423795,25.348814,4.772474,2.1845992,,,
102,07-1969,158.61679,163.60896,97.29989,205.89594,522.0571,22.84857,33.801033,34.875168,24.830456,36.53903,6.0892444,2.4676394,23.558142,24.53312,15.491022,26.094112,4.9656324,2.22837,,,
103,08-1969,90.664665,92.26838,53.475243,108.971214,128.27922,11.326042,32.275536,33.306896,24.084763,34.967773,5.393976,2.3224936,22.85824,23.8241,15.396465,25.223272,4.3014483,2.0739934,,,
104,09-1969,65.12095,65.07035,49.01185,91.98872,55.426376,7.444889,31.52542,32.605446,22.24965,34.535336,6.534636,2.5562935,19.435074,20.347454,11.8619,21.987757,4.316383,2.0775907,,,
105,10-1969,45.7329,41.51478,18.246744,114.6988,381.17932,19.523815,29.449438,30.542133,19.893444,32.52319,6.9038153,2.6275113,14.752712,15.30217,8.571193,16.7901,2.345925,1.5316414,,,
106,11-1969,6.1697927,6.075326,2.8699176,10.584555,3.8482156,1.961687,23.337187,24.270123,14.610251,26.043951,5.5475645,2.355327,8.3236,8.484218,3.6339757,10.685504,0.99903214,0.99951595,,,
107,12-1969,1.8477451,1.6562421,1.0211419,3.6968036,0.42454666,0.65157247,18.426132,19.319595,10.164435,20.74114,4.532122,2.128878,4.003046,4.165043,-0.80061805,6.209486,0.8767868,0.93636894,,,
108,01-1970,49.051445,48.222176,33.962845,78.102425,48.73244,6.9808626,15.859738,16.846897,7.2198577,18.356472,4.604202,2.1457403,3.3557572,3.6250124,-2.2864826,5.380687,1.2014805,1.0961207,,,
109,02-1970,50.62727,48.789345,40.873188,66.982124,25.71825,5.0713162,18.284718,19.332542,8.630173,21.052475,5.9376073,2.4367206,5.5055943,6.122318,-1.9670637,7.062834,2.4514794,1.5657201,,,
110,03-1970,55.818783,53.709465,29.46146,99.65382,252.62886,15.894302,21.88543,22.848066,12.043147,24.944603,6.1251597,2.474906,9.195791,9.858055,1.1473485,10.995344,3.1309924,1.769461,,,
111,04-1970,41.482807,37.972454,11.926405,103.56477,416.2047,20.401096,29.720522,30.92141,18.386223,33.41423,9.769731,3.1256568,16.00874,16.80938,7.9935093,18.2939,3.909588,1.9772679,,,
112,05-1970,24.4028,21.781006,10.910508,59.7582,102.90984,10.144449,35.46821,36.975433,23.14278,39.28701,12.057847,3.472441,20.187902,21.12073,11.312413,22.747272,5.4226503,2.3286586,,,
113,06-1970,65.65439,66.54007,36.590565,111.83733,210.16942,14.497221,37.675114,39.123695,26.171165,41.271473,10.230821,3.1985655,22.831005,23.746038,14.657302,25.623816,4.703162,2.1686776,,,
114,07-1970,169.52943,169.86386,91.18415,245.80399,1157.981,34.029118,33.655304,34.752113,24.638964,36.346592,6.0883303,2.4674542,23.229563,24.215778,15.120189,25.774147,4.993407,2.2345932,,,
115,08-1970,168.2795,173.84784,110.46026,207.92609,584.48663,24.176159,32.98179,33.92183,25.018269,35.716217,5.172876,2.2743957,22.951992,23.908901,15.517472,25.530043,4.3557825,2.0870512,,,
116,09-1970,141.59409,142.74576,85.616585,209.40025,555.67096,23.572674,32.248997,33.323654,23.00833,35.313633,6.5742435,2.5640287,19.97563,20.85936,12.541241,22.486889,4.123071,2.0305347,,,
117,10-1970,32.99282,28.975384,6.4947467,99.212036,384.65927,19.612732,30.158154,31.233345,20.656116,33.236214,6.9555964,2.6373465,14.376287,14.8938265,8.445673,16.4151,2.100351,1.4492588,,,
118,11-1970,1.0367708,0.92606556,0.4939257,2.2129562,0.15793507,0.39741045,23.59354,24.584244,15.089418,26.03502,5.233438,2.2876709,6.40103,6.592842,1.7716494,8.556858,0.9566841,0.9781023,,,
119,12-1970,12.486561,12.538657,6.2297034,19.74898,13.142583,3.6252701,17.80141,18.671713,9.664435,20.086973,4.3855143,2.094162,3.6963446,3.8464785,-1.0382917,5.9704237,0.85442007,0.9243485,,,
120,01-1971,8.130767,7.8164005,5.287009,13.732147,2.3151002,1.5215453,15.31481,16.278671,6.861524,17.587202,4.3063293,2.0751698,2.2028406,2.5070972,-3.5658228,4.2582912,1.2925512,1.1369042,,,
121,02-1971,89.04098,85.96468,34.23576,166.84326,1122.215,33.499477,17.902636,18.922745,8.37184,20.69501,5.811201,2.4106433,5.3660803,5.9089704,-1.8837302,7.071104,2.2761278,1.5086842,,,
122,03-1971,25.087574,23.241297,11.690554,49.836884,87.61352,9.360209,23.680637,24.660923,14.085161,26.585402,5.723566,2.3923976,10.150339,10.89576,1.9975219,12.177811,3.3247125,1.8233794,,,
123,04-1971,66.63308,63.60855,34.541943,133.02133,403.5334,20.08814,29.891148,31.131819,18.678064,33.405376,9.456686,3.0751724,15.7752,16.636063,7.814516,17.966295,3.8191986,1.954277,,,
124,05-1971,21.615557,21.16565,13.444174,37.500202,15.766436,3.9706972,34.638695,36.161446,22.317606,38.73381,12.464182,3.530465,19.673285,20.64402,10.995747,22.37071,5.276538,2.2970717,,,
125,06-1971,69.26225,68.79567,38.89845,120.85957,244.01694,15.621041,37.093243,38.490067,25.795818,40.564182,9.827179,3.134833,22.687153,23.616787,14.669802,25.324682,4.4825683,2.1172078,,,
126,07-1971,145.12047,143.65501,87.29969,202.1394,611.93384,24.737297,33.127907,34.148697,24.405283,35.758842,5.7289715,2.393527,22.913034,23.90747,15.09137,25.340815,4.609539,2.1469836,,,
127,08-1971,139.80707,142.88498,90.70282,169.25458,372.92825,19.31135,32.08123,33.085125,23.926428,34.856144,5.4612074,2.3369226,22.33567,23.284191,14.996466,24.772577,4.124991,2.0310073,,,
128,09-1971,65.9711,65.4852,49.660656,92.086876,50.319916,7.093653,30.805593,31.86391,21.324995,33.99875,6.970649,2.6401987,18.84063,19.719206,11.353393,21.363625,4.138632,2.0343628,,,
129,10-1971,6.785338,6.160613,3.0474472,16.627705,7.063236,2.657675,29.169924,30.269684,19.697437,31.944546,6.650664,2.5788882,13.13403,13.675987,7.191853,14.904683,1.9945896,1.4122994,,,
