,WET_Max,WET_Min,WET_Mean,WET_std
2002,5.05657911300659,-9.93276119232177,-1.43003221398703,4.744138525367277
2003,8.6345739364624,-6.0325961112976,0.8484176278956133,4.904164079306431
2004,2.15977597236633,-8.1832628250122,-2.874499686062333,3.2902175047746836
2005,16.4042415618896,-6.71724557876586,5.021743207393821,7.816072238349852
2006,7.64179277420043,-5.30080556869506,0.4045175562302263,4.080900522361945
2007,11.1802024841308,-9.42440700531005,1.241590424130355,5.922364404559642
2008,3.37564659118652,-8.83498001098632,-2.5060662850737554,4.1713218786147035
2009,6.56697702407836,-8.69354343414306,-1.2872848659753797,5.133325369317938
2010,7.8072714805603,-8.41891193389892,-0.5504018490513157,4.460563490201472
2011,5.44917345046997,-8.45886802673339,-1.1925980883638363,4.428433495665787
2012,2.87922763824462,-11.7172565460205,-3.7428395471770766,4.451496069917602
2013,4.21731567382812,-11.0185708999633,-2.1453544400966327,4.440202934369564
2014,5.10987949371337,-10.278445612317807,-2.029725357998164,4.791594222185793
2015,10.65119613567607,-10.1434993743896,0.6474665206758351,7.127578842034638
2016,4.350122565432504,-20.5384178161621,-3.2333431771107044,7.561367268378754
2017,5.48119640350341,-21.192805295693546,-11.553794114266205,9.11923587519449
2018,-8.016744215484207,-21.3082466125488,-14.306941289847542,4.838340665505097
2019,1.06734991073608,-17.6693172454834,-6.502155636747671,5.543179493692399
2020,4.03044319152832,-18.1547698974609,-6.553525418043123,7.296040093445141
2021,-4.97864389419555,-18.4662265777587,-13.057163298129995,4.5529649468118185
